segment;pas;paire;succes;attendu
S004;381;alpha->epsilon;1;0.7789125863622709
S004;389;alpha->epsilon;1;0.883030303030303
S004;405;alpha->epsilon;1;0.883030303030303
S004;428;alpha->epsilon;1;0.848316342292246
S004;444;alpha->epsilon;1;0.8878390734532154
S004;512;alpha->epsilon;0;0.7789125863622709
S004;518;alpha->epsilon;0;0.7789125863622709
S004;557;alpha->epsilon;1;0.7789125863622709
S004;578;alpha->epsilon;1;0.883030303030303
S004;580;alpha->epsilon;1;0.883030303030303
S004;628;alpha->epsilon;1;0.883030303030303
S004;686;alpha->epsilon;0;0.7254842615012107
S004;688;alpha->epsilon;0;0.7254842615012107
S004;720;alpha->epsilon;1;0.7789125863622709
S004;723;alpha->epsilon;1;0.7789125863622709
S004;727;alpha->epsilon;1;0.7254842615012107
S004;729;alpha->epsilon;1;0.8264908600539407
S004;753;alpha->epsilon;1;0.8878390734532154
S004;779;alpha->epsilon;1;0.7789125863622709
S004;823;alpha->epsilon;1;0.7378345498783455
S004;859;alpha->epsilon;1;0.7789125863622709
S004;873;alpha->epsilon;1;0.7789125863622709
S004;960;alpha->epsilon;0;0.7789125863622709
S004;967;alpha->epsilon;1;0.8264908600539407
S004;1000;alpha->epsilon;1;0.7789125863622709
S004;1003;alpha->epsilon;1;0.7254842615012107
S004;1020;alpha->epsilon;1;0.7789125863622709
S004;1048;alpha->epsilon;1;0.7378345498783455
S004;1062;alpha->epsilon;1;0.8072066522944257
S004;1081;alpha->epsilon;1;0.8878390734532154
S004;1086;alpha->epsilon;1;0.848316342292246
S004;1093;alpha->epsilon;1;0.848316342292246
S004;1176;alpha->epsilon;1;0.7789125863622709
S004;1215;alpha->epsilon;1;0.8072066522944257
S004;1220;alpha->epsilon;1;0.8072066522944257
S004;1232;alpha->epsilon;1;0.848316342292246
S004;1335;alpha->epsilon;0;0.7789125863622709
S004;1362;alpha->epsilon;1;0.7254842615012107
S004;1364;alpha->epsilon;1;0.7254842615012107
S004;1410;alpha->epsilon;0;0.7254842615012107
S004;1412;alpha->epsilon;0;0.7254842615012107
S005;24;alpha->epsilon;1;0.7789125863622709
S005;30;alpha->epsilon;1;0.7789125863622709
S005;106;alpha->epsilon;0;0.883030303030303
S005;123;alpha->epsilon;0;0.7789125863622709
S005;154;alpha->epsilon;1;0.7789125863622709
S005;261;alpha->epsilon;0;0.7254842615012107
S005;268;alpha->epsilon;0;0.7254842615012107
S005;311;alpha->epsilon;1;0.7254842615012107
S005;313;alpha->epsilon;1;0.7789125863622709
S005;337;alpha->epsilon;0;0.8878390734532154
S005;342;alpha->epsilon;0;0.8072066522944257
S005;362;alpha->epsilon;0;0.848316342292246
S005;391;alpha->epsilon;1;0.8878390734532154
S005;407;alpha->epsilon;1;0.883030303030303
S005;445;alpha->epsilon;1;0.8072066522944257
S005;464;alpha->epsilon;1;0.8878390734532154
S005;517;alpha->epsilon;1;0.7378345498783455
S005;539;alpha->epsilon;1;0.883030303030303
S005;563;alpha->epsilon;1;0.883030303030303
S005;572;alpha->epsilon;1;0.7789125863622709
S005;574;alpha->epsilon;1;0.8264908600539407
S005;580;alpha->epsilon;1;0.7789125863622709
S005;586;alpha->epsilon;1;0.8264908600539407
S005;593;alpha->epsilon;0;0.883030303030303
S005;645;alpha->epsilon;0;0.7254842615012107
S005;650;alpha->epsilon;0;0.7254842615012107
S005;652;alpha->epsilon;0;0.8264908600539407
S005;681;alpha->epsilon;1;0.7789125863622709
S005;698;alpha->epsilon;1;0.8264908600539407
S005;738;alpha->epsilon;1;0.8072066522944257
S005;740;alpha->epsilon;1;0.8072066522944257
S005;742;alpha->epsilon;1;0.8072066522944257
S005;794;alpha->epsilon;1;0.7378345498783455
S005;867;alpha->epsilon;1;0.7254842615012107
S005;876;alpha->epsilon;1;0.7254842615012107
S005;887;alpha->epsilon;1;0.7789125863622709
S005;892;alpha->epsilon;1;0.883030303030303
S005;929;alpha->epsilon;1;0.7378345498783455
S005;937;alpha->epsilon;1;0.8878390734532154
S005;956;alpha->epsilon;1;0.883030303030303
S005;981;alpha->epsilon;1;0.7789125863622709
S005;986;alpha->epsilon;1;0.883030303030303
S006;85;alpha->epsilon;1;0.7378345498783455
S006;87;alpha->epsilon;1;0.7378345498783455
S006;144;alpha->epsilon;1;0.7254842615012107
S006;148;alpha->epsilon;1;0.7789125863622709
S006;213;alpha->epsilon;0;0.7254842615012107
S006;227;alpha->epsilon;1;0.7789125863622709
S006;247;alpha->epsilon;1;0.883030303030303
S006;269;alpha->epsilon;1;0.8878390734532154
S006;274;alpha->epsilon;1;0.848316342292246
S006;348;alpha->epsilon;1;0.7378345498783455
S006;359;alpha->epsilon;1;0.7378345498783455
S006;363;alpha->epsilon;1;0.8072066522944257
S006;391;alpha->epsilon;1;0.8072066522944257
S006;417;alpha->epsilon;1;0.848316342292246
S006;485;alpha->epsilon;1;0.7789125863622709
S006;495;alpha->epsilon;1;0.7254842615012107
S006;499;alpha->epsilon;1;0.7254842615012107
S006;508;alpha->epsilon;1;0.883030303030303
S006;567;alpha->epsilon;0;0.7378345498783455
