segment;pas;succes;attendu
S032;1063;1;0.7961011591148578
S032;1064;1;0.7961011591148578
S032;1065;1;0.7961011591148578
S032;1343;1;0.799367088607595
S032;1344;1;0.799367088607595
S032;1345;1;0.799367088607595
S033;21;0;0.7751256281407035
S033;234;1;0.7600479904019196
S033;235;1;0.7600479904019196
S033;236;1;0.7600479904019196
S033;237;1;0.6788523831559463
S033;238;1;0.7961011591148578
S033;319;0;0.272
S033;504;1;0.799367088607595
S033;505;1;0.799367088607595
S033;506;1;0.799367088607595
S033;787;1;0.7107142857142857
S033;788;1;0.7600479904019196
S033;1062;1;0.2550335570469799
S033;1063;1;0.5166240409207161
S033;1099;0;0.16429840142095914
S033;1100;0;0.16429840142095914
S033;1101;0;0.16429840142095914
S033;1122;1;0.5973377703826955
S033;1123;1;0.7296996662958843
S034;64;1;0.7751256281407035
S034;73;0;0.21744186046511627
S034;74;1;0.26453488372093026
S034;178;1;0.799367088607595
S034;179;1;0.799367088607595
S034;192;1;0.6631376323387873
S034;202;1;0.799367088607595
S034;375;0;0.49085365853658536
S034;465;0;0.39915966386554624
S034;487;1;0.7296996662958843
S034;873;1;0.5095541401273885
S034;874;1;0.5095541401273885
S034;875;1;0.5091649694501018
S034;876;1;0.7751256281407035
S034;912;0;0.799367088607595
S034;913;0;0.799367088607595
S034;1086;1;0.5091649694501018
S034;1243;1;0.799367088607595
S034;1244;1;0.799367088607595
S035;93;1;0.6788523831559463
S035;94;1;0.6788523831559463
S035;95;1;0.6788523831559463
S035;96;1;0.6788523831559463
S035;97;1;0.7961011591148578
S035;98;1;0.7961011591148578
S035;99;1;0.7961011591148578
S035;691;1;0.5829787234042553
S035;692;1;0.5655172413793104
S035;693;1;0.7107142857142857
S035;694;1;0.5862619808306709
S035;780;1;0.7600479904019196
S035;892;1;0.7940379403794038
S035;893;1;0.7940379403794038
S035;932;0;0.7961011591148578
S035;933;0;0.7961011591148578
S035;1207;1;0.7600479904019196
S035;1233;1;0.7296996662958843
S035;1234;1;0.7751256281407035
S035;1235;1;0.7751256281407035
S036;60;0;0.6631376323387873
S036;75;1;0.7107142857142857
S036;76;1;0.7600479904019196
S036;77;1;0.7600479904019196
S036;123;0;0.7751256281407035
S036;132;0;0.39921722113502933
S036;256;1;0.7940379403794038
S036;297;1;0.7600479904019196
S036;298;1;0.7600479904019196
S036;299;1;0.7600479904019196
S036;300;1;0.7961011591148578
S036;326;0;0.4111111111111111
S036;474;0;0.7983870967741935
S036;702;1;0.7983870967741935
S036;803;1;0.7961011591148578
S036;939;1;0.5095541401273885
S036;940;1;0.5095541401273885
S036;1071;1;0.7107142857142857
S036;1072;1;0.7107142857142857
S036;1073;1;0.7600479904019196
S036;1074;1;0.7600479904019196
S036;1075;1;0.7600479904019196
S036;1166;1;0.7940379403794038
S036;1167;1;0.7940379403794038
S037;60;1;0.799367088607595
S037;225;1;0.799367088607595
S037;232;0;0.35605234460196294
S037;233;0;0.18627450980392157
S037;234;0;0.18627450980392157
S037;270;1;0.7940379403794038
S037;337;0;0.37373737373737376
S037;394;1;0.7961011591148578
S037;548;1;0.799367088607595
S037;595;0;0.4186746987951807
S037;918;1;0.7107142857142857
S037;919;1;0.7107142857142857
S037;920;1;0.7600479904019196
S037;947;1;0.3487423521414004
S037;1021;1;0.7940379403794038
S037;1022;1;0.7940379403794038
S037;1023;1;0.7940379403794038
S037;1024;1;0.7940379403794038
S037;1025;1;0.7940379403794038
S037;1050;1;0.7600479904019196
S037;1051;1;0.7600479904019196
S037;1075;1;0.7600479904019196
S037;1357;1;0.7983870967741935
S037;1358;1;0.7983870967741935
S037;1359;1;0.7983870967741935
S037;1360;1;0.7983870967741935
S037;1381;1;0.7600479904019196
S037;1382;1;0.7961011591148578
S037;1430;1;0.7751256281407035
S038;155;1;0.7983870967741935
S038;156;1;0.7983870967741935
S038;157;1;0.7983870967741935
S038;182;1;0.16429840142095914
S038;246;1;0.7983870967741935
S038;247;1;0.7983870967741935
S038;279;1;0.7961011591148578
S038;545;1;0.5095541401273885
S038;546;0;0.6260229132569558
