segment;pas;appel;succes;attendu
S008;1338;F06->alpha;1;0.9108159392789373
S008;1340;F06->alpha;1;0.9108159392789373
S008;1351;F06->alpha;1;0.9254345837145471
S008;1406;F06->alpha;0;0.8292228943694742
S009;72;F06->alpha;1;0.8600405679513184
S009;102;F06->alpha;1;0.8662116040955632
S009;170;F06->alpha;1;0.9133202742409402
S009;222;F06->alpha;1;0.8821292775665399
S009;296;F06->alpha;1;0.8577319587628865
S009;325;F06->alpha;1;0.8155067725361981
S009;327;F06->alpha;1;0.9254345837145471
S009;340;F06->alpha;1;0.7658536585365854
S009;342;F06->alpha;1;0.7658536585365854
S009;356;F06->alpha;1;0.8519480519480519
S009;369;F06->alpha;1;0.91792656587473
S009;396;F06->alpha;1;0.8599695585996956
S009;422;F06->alpha;1;0.7684491978609626
S009;427;F06->alpha;1;0.8498727735368957
S009;449;F06->alpha;1;0.8577319587628865
S009;489;F06->alpha;0;0.910212474297464
S009;491;F06->alpha;0;0.9469339622641509
S009;511;F06->alpha;1;0.8729591836734694
S009;544;F06->alpha;1;0.9254345837145471
S009;643;F06->alpha;1;0.8873517786561265
S009;663;F06->alpha;1;0.9102040816326531
S009;665;F06->alpha;1;0.9133202742409402
S009;667;F06->alpha;1;0.8401486988847584
S009;673;F06->alpha;1;0.8706199460916442
S009;678;F06->alpha;1;0.8821292775665399
S009;680;F06->alpha;1;0.8600405679513184
S009;688;F06->alpha;1;0.8155067725361981
S009;807;F06->alpha;1;0.7632211538461539
S009;841;F06->alpha;1;0.8538095238095238
S009;846;F06->alpha;1;0.8254237288135593
S009;898;F06->alpha;1;0.8287104622871047
S009;900;F06->alpha;1;0.8287104622871047
S009;902;F06->alpha;1;0.8538095238095238
S009;945;F06->alpha;1;0.9587443946188341
S009;950;F06->alpha;1;0.9015025041736227
S009;978;F06->alpha;1;0.7658371040723982
S009;1078;F06->alpha;1;0.8656410256410256
S009;1106;F06->alpha;1;0.7530186608122942
S009;1125;F06->alpha;1;0.7684491978609626
S009;1127;F06->alpha;1;0.8155067725361981
S009;1139;F06->alpha;1;0.8973384030418251
S009;1152;F06->alpha;1;0.7740076824583867
S009;1154;F06->alpha;1;0.7740076824583867
S009;1208;F06->alpha;1;0.9400749063670412
S009;1372;F06->alpha;1;0.8185840707964602
S009;1378;F06->alpha;1;0.8662116040955632
S010;53;F06->alpha;1;0.9469339622641509
S010;55;F06->alpha;1;0.8955916473317865
S010;71;F06->alpha;1;0.9254345837145471
S010;116;F06->alpha;1;0.9309173272933182
S010;176;F06->alpha;1;0.8538095238095238
S010;321;F06->alpha;1;0.9469339622641509
S010;323;F06->alpha;1;0.9469339622641509
S010;339;F06->alpha;1;0.874251497005988
S010;341;F06->alpha;1;0.8599695585996956
S010;393;F06->alpha;1;0.8292228943694742
S010;457;F06->alpha;1;0.8577319587628865
S010;527;F06->alpha;1;0.8449111470113085
S010;689;F06->alpha;1;0.8973384030418251
S010;694;F06->alpha;1;0.8656410256410256
S010;713;F06->alpha;1;0.8155067725361981
S010;719;F06->alpha;1;0.882808181315644
S010;795;F06->alpha;1;0.9309173272933182
