segment;pas;capteur;succes;attendu
S001;622;alpha;0;0.05497957901350927
S001;624;alpha;0;0.08973935994721215
S001;630;alpha;1;0.37459434399629116
S001;631;alpha;0;0.008179339594062406
S001;639;alpha;0;0.008179339594062406
S001;645;alpha;0;0.004512635379061372
S001;654;alpha;0;0.01712014674411495
S001;666;alpha;1;0.28258221680876977
S001;667;alpha;1;0.37459434399629116
S001;668;alpha;1;0.454396504642272
S001;669;alpha;0;0.454396504642272
S001;673;alpha;1;0.28258221680876977
S001;674;alpha;0;0.22510334460729048
S001;676;alpha;1;0.454396504642272
S001;677;alpha;0;0.454396504642272
S001;679;alpha;1;0.012198841110094541
S001;680;alpha;0;0.004512635379061372
S001;686;alpha;1;0.16335227272727273
S001;687;alpha;1;0.16335227272727273
S001;688;alpha;0;0.005474452554744526
S001;704;alpha;0;0.06172049888071634
S001;725;alpha;0;0.454396504642272
S001;727;alpha;0;0.454396504642272
S001;730;alpha;0;0.06172049888071634
S001;733;alpha;0;0.05497957901350927
S001;745;alpha;0;0.05497957901350927
S001;780;alpha;0;0.454396504642272
S001;787;alpha;1;0.454396504642272
S001;788;alpha;0;0.22510334460729048
S001;790;alpha;0;0.08973935994721215
S001;830;alpha;1;0.28258221680876977
S001;831;alpha;1;0.37459434399629116
S001;832;alpha;0;0.16335227272727273
S001;845;alpha;0;0.02786282914880588
S001;852;alpha;0;0.06172049888071634
S001;855;alpha;0;0.454396504642272
S001;857;alpha;0;0.11368277739959155
S001;859;alpha;1;0.28258221680876977
S001;860;alpha;0;0.08973935994721215
S001;866;alpha;0;0.16335227272727273
S001;873;alpha;0;0.16335227272727273
S001;885;alpha;1;0.22510334460729048
S001;886;alpha;0;0.11368277739959155
S001;888;alpha;0;0.03917267314321529
S001;898;alpha;0;0.28258221680876977
S001;922;alpha;0;0.28258221680876977
S001;929;alpha;0;0.37459434399629116
S001;937;alpha;0;0.22510334460729048
S001;952;alpha;0;0.454396504642272
S001;954;alpha;0;0.11368277739959155
S001;960;alpha;0;0.22510334460729048
S001;964;alpha;0;0.37459434399629116
S001;966;alpha;0;0.012198841110094541
S001;1016;alpha;0;0.37459434399629116
S001;1020;alpha;0;0.005145278450363196
S001;1078;alpha;0;0.454396504642272
S001;1080;alpha;0;0.06172049888071634
S001;1092;alpha;0;0.16335227272727273
S001;1110;alpha;0;0.37459434399629116
S001;1118;alpha;0;0.22510334460729048
S001;1120;alpha;1;0.28258221680876977
S001;1121;alpha;0;0.16335227272727273
S001;1123;alpha;0;0.22510334460729048
S001;1125;alpha;1;0.454396504642272
S001;1126;alpha;0;0.37459434399629116
S001;1128;alpha;0;0.454396504642272
S001;1141;alpha;0;0.08973935994721215
S001;1156;alpha;1;0.454396504642272
S001;1157;alpha;0;0.454396504642272
S001;1159;alpha;1;0.37459434399629116
S001;1160;alpha;0;0.454396504642272
S001;1164;alpha;1;0.28258221680876977
S001;1165;alpha;0;0.454396504642272
S001;1170;alpha;1;0.16335227272727273
S001;1171;alpha;0;0.11368277739959155
S001;1173;alpha;1;0.11368277739959155
S001;1174;alpha;0;0.28258221680876977
S001;1198;alpha;0;0.37459434399629116
S001;1204;alpha;1;0.37459434399629116
S001;1205;alpha;1;0.454396504642272
S001;1206;alpha;0;0.454396504642272
S001;1208;alpha;1;0.22510334460729048
S001;1209;alpha;0;0.37459434399629116
S001;1320;alpha;1;0.08973935994721215
S001;1321;alpha;1;0.37459434399629116
S001;1322;alpha;0;0.16335227272727273
S001;1332;alpha;0;0.37459434399629116
S001;1337;alpha;0;0.37459434399629116
S001;1340;alpha;1;0.454396504642272
S001;1341;alpha;0;0.454396504642272
S001;1343;alpha;0;0.08973935994721215
S001;1355;alpha;0;0.454396504642272
S001;1379;alpha;1;0.454396504642272
S001;1380;alpha;0;0.05497957901350927
S001;1394;alpha;0;0.37459434399629116
S001;1397;alpha;1;0.16335227272727273
S001;1398;alpha;0;0.02786282914880588
S001;1401;alpha;1;0.454396504642272
S001;1402;alpha;0;0.22510334460729048
S001;1404;alpha;0;0.454396504642272
S001;1420;alpha;0;0.22510334460729048
S001;1422;alpha;0;0.11368277739959155
S001;1426;alpha;0;0.454396504642272
S001;1428;alpha;0;0.05497957901350927
S001;1438;alpha;0;0.22510334460729048
S002;1;alpha;0;0.454396504642272
S002;6;alpha;1;0.454396504642272
S002;7;alpha;0;0.16335227272727273
S002;9;alpha;0;0.37459434399629116
S002;11;alpha;0;0.02786282914880588
S002;36;alpha;0;0.22510334460729048
S002;79;alpha;1;0.37459434399629116
S002;80;alpha;1;0.454396504642272
S002;81;alpha;0;0.03007751937984496
S002;85;alpha;0;0.03007751937984496
S002;89;alpha;0;0.22510334460729048
S002;107;alpha;1;0.22510334460729048
S002;108;alpha;1;0.28258221680876977
S002;109;alpha;1;0.454396504642272
S002;110;alpha;0;0.28258221680876977
S002;142;alpha;0;0.454396504642272
S002;144;alpha;0;0.16335227272727273
S002;146;alpha;0;0.37459434399629116
S002;160;alpha;0;0.37459434399629116
S002;171;alpha;0;0.454396504642272
S002;197;alpha;0;0.28258221680876977
S002;204;alpha;0;0.03007751937984496
S002;243;alpha;0;0.37459434399629116
S002;280;alpha;1;0.454396504642272
S002;281;alpha;0;0.22510334460729048
S002;295;alpha;1;0.37459434399629116
S002;296;alpha;0;0.06172049888071634
S002;301;alpha;0;0.28258221680876977
S002;324;alpha;0;0.454396504642272
S002;328;alpha;0;0.37459434399629116
S002;332;alpha;0;0.004512635379061372
S002;371;alpha;0;0.37459434399629116
S002;375;alpha;0;0.37459434399629116
S002;380;alpha;0;0.37459434399629116
S002;382;alpha;0;0.11368277739959155
S002;388;alpha;1;0.37459434399629116
S002;389;alpha;0;0.28258221680876977
S002;391;alpha;0;0.454396504642272
S002;400;alpha;0;0.22510334460729048
S002;405;alpha;0;0.454396504642272
S002;442;alpha;0;0.16335227272727273
S002;446;alpha;0;0.01712014674411495
S002;455;alpha;1;0.28258221680876977
S002;456;alpha;1;0.08973935994721215
S002;457;alpha;1;0.22510334460729048
S002;458;alpha;0;0.16335227272727273
S002;464;alpha;0;0.454396504642272
S002;466;alpha;0;0.454396504642272
S002;469;alpha;1;0.454396504642272
S002;470;alpha;0;0.37459434399629116
S002;518;alpha;1;0.11368277739959155
S002;519;alpha;0;0.454396504642272
S002;521;alpha;1;0.28258221680876977
S002;522;alpha;0;0.005145278450363196
S002;530;alpha;1;0.454396504642272
S002;531;alpha;0;0.454396504642272
S002;556;alpha;0;0.22510334460729048
S002;573;alpha;0;0.22510334460729048
S002;584;alpha;0;0.28258221680876977
S002;589;alpha;0;0.16335227272727273
S002;601;alpha;0;0.28258221680876977
S002;605;alpha;0;0.454396504642272
S002;611;alpha;1;0.454396504642272
S002;612;alpha;0;0.05497957901350927
S002;615;alpha;0;0.37459434399629116
S002;621;alpha;1;0.08973935994721215
S002;622;alpha;1;0.454396504642272
S002;623;alpha;0;0.014058679706601468
S002;627;alpha;0;0.16335227272727273
S002;637;alpha;1;0.16335227272727273
S002;638;alpha;1;0.28258221680876977
S002;639;alpha;1;0.454396504642272
S002;640;alpha;1;0.454396504642272
S002;641;alpha;0;0.37459434399629116
S002;664;alpha;0;0.005145278450363196
S002;688;alpha;0;0.16335227272727273
S002;690;alpha;0;0.16335227272727273
S002;705;alpha;0;0.03917267314321529
S002;708;alpha;0;0.11368277739959155
S002;710;alpha;1;0.22510334460729048
S002;711;alpha;0;0.28258221680876977
S002;714;alpha;0;0.28258221680876977
S002;716;alpha;1;0.16335227272727273
S002;717;alpha;1;0.03007751937984496
S002;718;alpha;1;0.37459434399629116
S002;719;alpha;0;0.012198841110094541
S002;724;alpha;0;0.16335227272727273
S002;726;alpha;0;0.22510334460729048
S002;738;alpha;1;0.37459434399629116
S002;739;alpha;1;0.454396504642272
S002;740;alpha;0;0.012198841110094541
S002;743;alpha;0;0.454396504642272
S002;745;alpha;0;0.16335227272727273
S002;749;alpha;0;0.03007751937984496
S002;784;alpha;0;0.03007751937984496
S002;817;alpha;1;0.454396504642272
S002;818;alpha;0;0.37459434399629116
S002;822;alpha;0;0.454396504642272
S002;825;alpha;0;0.012198841110094541
S002;828;alpha;0;0.014058679706601468
S002;831;alpha;1;0.06172049888071634
S002;832;alpha;1;0.28258221680876977
S002;833;alpha;0;0.03917267314321529
S002;840;alpha;1;0.454396504642272
S002;841;alpha;0;0.454396504642272
S002;844;alpha;1;0.06172049888071634
S002;845;alpha;0;0.28258221680876977
S002;848;alpha;1;0.16335227272727273
S002;849;alpha;0;0.03007751937984496
S002;879;alpha;0;0.37459434399629116
S002;895;alpha;1;0.28258221680876977
S002;896;alpha;0;0.454396504642272
S002;898;alpha;1;0.28258221680876977
S002;899;alpha;1;0.37459434399629116
S002;900;alpha;0;0.08973935994721215
S002;902;alpha;1;0.08973935994721215
S002;903;alpha;0;0.37459434399629116
S002;905;alpha;0;0.454396504642272
S002;907;alpha;0;0.03917267314321529
S002;909;alpha;0;0.22510334460729048
S002;911;alpha;1;0.22510334460729048
S002;912;alpha;0;0.06172049888071634
S002;922;alpha;1;0.05497957901350927
S002;923;alpha;1;0.454396504642272
S002;924;alpha;0;0.004512635379061372
S002;929;alpha;0;0.11368277739959155
S002;938;alpha;1;0.02786282914880588
S002;939;alpha;1;0.37459434399629116
S002;940;alpha;1;0.11368277739959155
S002;941;alpha;0;0.16335227272727273
S002;945;alpha;0;0.005145278450363196
S002;949;alpha;0;0.37459434399629116
S002;992;alpha;0;0.11368277739959155
S002;999;alpha;0;0.22510334460729048
S002;1012;alpha;0;0.08973935994721215
S002;1049;alpha;0;0.37459434399629116
S002;1097;alpha;0;0.37459434399629116
S002;1109;alpha;0;0.05497957901350927
S002;1114;alpha;0;0.22510334460729048
S002;1116;alpha;1;0.22510334460729048
S002;1117;alpha;0;0.05497957901350927
S002;1136;alpha;1;0.454396504642272
S002;1137;alpha;0;0.16335227272727273
S002;1140;alpha;0;0.454396504642272
S002;1142;alpha;1;0.37459434399629116
S002;1143;alpha;0;0.005474452554744526
S002;1154;alpha;0;0.37459434399629116
S002;1160;alpha;0;0.16335227272727273
S002;1162;alpha;1;0.454396504642272
S002;1163;alpha;1;0.454396504642272
S002;1164;alpha;1;0.454396504642272
S002;1165;alpha;1;0.08973935994721215
S002;1166;alpha;0;0.37459434399629116
S002;1219;alpha;0;0.08973935994721215
S002;1232;alpha;0;0.11368277739959155
S002;1235;alpha;0;0.454396504642272
S002;1244;alpha;0;0.454396504642272
S002;1320;alpha;0;0.02786282914880588
S002;1322;alpha;0;0.28258221680876977
S002;1325;alpha;0;0.22510334460729048
S002;1336;alpha;0;0.004512635379061372
S002;1350;alpha;0;0.28258221680876977
S002;1412;alpha;0;0.005474452554744526
S003;3;alpha;0;0.03007751937984496
S003;28;alpha;0;0.454396504642272
S003;35;alpha;1;0.37459434399629116
S003;36;alpha;0;0.03917267314321529
S003;52;alpha;0;0.08973935994721215
S003;54;alpha;0;0.22510334460729048
S003;56;alpha;0;0.28258221680876977
S003;79;alpha;0;0.454396504642272
S003;102;alpha;1;0.37459434399629116
S003;103;alpha;0;0.06172049888071634
S003;114;alpha;0;0.454396504642272
S003;142;alpha;0;0.08973935994721215
S003;151;alpha;0;0.06172049888071634
S003;154;alpha;0;0.01712014674411495
S003;205;alpha;1;0.37459434399629116
S003;206;alpha;1;0.11368277739959155
S003;207;alpha;1;0.28258221680876977
S003;208;alpha;1;0.454396504642272
S003;209;alpha;0;0.454396504642272
S003;218;alpha;0;0.28258221680876977
S003;221;alpha;0;0.16335227272727273
S003;230;alpha;1;0.37459434399629116
