symbole;famille;appel;n_A1;cont_A1;ampl_A1;act_A1;n_A2;cont_A2;ampl_A2;act_A2;dev_A1;dev_A2
53;F14;;814;0.48157248157248156;0.9503920023239387;0.9124201600981787;322;0.453416149068323;0.952075313142324;0.9316770186335404;-0.002014920069850268;-0.03645457261179985
54;F12;;775;0.5187096774193548;0.9450184313861316;0.9271827500883705;350;0.4542857142857143;0.9584683967795425;0.9247311827956989;0.03512227577702298;-0.03558500739440856
55;F31;;698;0.49140401146131807;0.9747902899642922;0.948803075310152;322;0.5;0.9556250943840322;0.9320388349514563;0.007816609818986242;0.010129278319877144
56;F21;;716;0.48743016759776536;0.9763216556960063;0.9584688995215311;267;0.4681647940074906;1.0007313722261861;0.9416981132075471;0.003842765955433536;-0.02170592767263224
57;F34;;706;0.45750708215297453;0.9319757198899551;0.9411764705882353;297;0.4444444444444444;0.9313936172048422;0.9444444444444444;-0.026080319489357295;-0.045426277235678436
58;F13;;752;0.48271276595744683;0.9873557873769144;0.9479805265055896;356;0.46629213483146065;0.9458295360198599;0.9583333333333334;-0.0008746356848849945;-0.02357858684866221
59;F06;alpha;759;0.5019762845849802;0.957076102690548;0.9292929292929293;321;0.5077881619937694;0.989388348008369;0.9450874954429457;0.0183888829426484;0.01791744031364656
60;F36;;682;0.48533724340175954;0.9869128211088429;0.9496064991114496;297;0.43434343434343436;0.999386924317467;0.96;0.0017498417594277171;-0.05552728733668849
61;F30;;759;0.5019762845849802;0.9570142451251875;0.9402985074626866;316;0.47151898734177217;0.9731259676183325;0.9384781435509983;0.0183888829426484;-0.01835173433835069
62;F25;;669;0.4857997010463378;0.9829042758056905;0.9634091923248549;299;0.46488294314381273;1.0320802052602875;0.9433760683760684;0.0022122994040059685;-0.024987778536310123
63;F01;;624;0.47435897435897434;0.9849980201671051;0.9807410124724871;316;0.4873417721518987;0.987227262123537;0.9882352941176471;-0.009228427283357488;-0.0025289495282241337
