source;famille;capteur;issue;designe;n;obs;ref;z;segments
repli;F14;delta;retour27;False;99;0.16161616161616163;0.16288658340703172;-0.04578394843345608;42
repli;F14;epsilon;retour27;False;99;0.41414141414141414;0.40074659522794837;0.28409126799438467;42
repli;F14;;cont10;False;99;0.7777777777777778;0.7991046758706173;-0.5286692030917174;42
repli;F15;alpha;retour27;False;91;0.7802197802197802;0.7808157493670156;-0.013656093390740108;43
repli;F15;beta;retour27;False;91;0.16483516483516483;0.14161122960165398;0.6966343379439468;43
repli;F15;gamma;retour27;False;91;0.1978021978021978;0.17133089671041707;0.7056905347316366;43
repli;F15;delta;retour27;False;91;0.15384615384615385;0.17101776169093588;-0.5416565314578096;43
repli;F15;epsilon;retour27;False;91;0.42857142857142855;0.38518542501342007;0.8633887761133316;43
repli;F15;;cont10;False;91;0.8021978021978022;0.7968890323752288;0.13354642168276165;43
repli;F16;alpha;retour27;False;46;0.7608695652173914;0.7566120716176506;0.06917031983269926;27
repli;F16;beta;retour27;False;46;0.1956521739130435;0.11303973612479896;1.6013302059496715;27
repli;F16;gamma;retour27;False;46;0.21739130434782608;0.1568621517735229;1.0115369995114438;27
repli;F16;delta;retour27;False;46;0.15217391304347827;0.1423179879894173;0.2248741989109627;27
repli;F16;epsilon;retour27;False;46;0.41304347826086957;0.36780442859518714;0.6388156846415162;27
repli;F16;;cont10;False;46;0.7608695652173914;0.7944330077192497;-0.5591550728338658;27
repli;F17;alpha;retour27;False;94;0.776595744680851;0.7797269493170113;-0.07470719781629705;42
repli;F17;beta;retour27;False;94;0.11702127659574468;0.14023631859589406;-0.8459736747106972;42
repli;F17;gamma;retour27;False;94;0.1276595744680851;0.16579831001113984;-1.169295232980731;42
repli;F17;delta;retour27;False;94;0.1595744680851064;0.16294193004636442;-0.17049595518157373;42
repli;F17;epsilon;retour27;False;94;0.32978723404255317;0.3827644910891706;-1.1241781255459784;42
repli;F17;;cont10;False;94;0.8191489361702128;0.8133573669139467;0.1464163968929717;42
repli;F18;alpha;retour27;False;109;0.8623853211009175;0.7737959158538499;2.8067310012493354;41
repli;F18;beta;retour27;False;109;0.14678899082568808;0.12043944813824053;0.9126902811927778;41
repli;F18;gamma;retour27;False;109;0.22018348623853212;0.16221040834563713;1.4937479740149322;41
repli;F18;delta;retour27;False;109;0.13761467889908258;0.12595512474020673;0.5244835504099944;41
repli;F18;epsilon;retour27;False;109;0.43119266055045874;0.3990098164805115;0.6850377805765365;41
repli;F18;;cont10;False;109;0.7798165137614679;0.7898167173007011;-0.270734942241198;41
repli;F19;alpha;retour27;False;105;0.819047619047619;0.7919169777186392;0.7369925556108424;45
repli;F19;beta;retour27;False;105;0.18095238095238095;0.14574514280334988;1.1085442508329275;45
repli;F19;gamma;retour27;False;105;0.19047619047619047;0.17759886332646027;0.3734244733393958;45
repli;F19;delta;retour27;False;105;0.14285714285714285;0.12828595456887534;0.545775806033619;45
repli;F19;epsilon;retour27;False;105;0.44761904761904764;0.40220647444545155;0.9651217630327437;45
repli;F19;;cont10;False;105;0.7619047619047619;0.7908158858831341;-0.7049193651163748;45
repli;F20;alpha;retour27;False;40;0.775;0.777709484847534;-0.039371271347337526;30
repli;F20;beta;retour27;True;40;0.2;0.1168948479370036;1.4710739927602332;30
repli;F20;gamma;retour27;False;40;0.2;0.14809418429041776;0.8818174304548483;30
