famille;capteur;h;issue;z_A1;z_A2;ecart_A1;ecart_A2;n_A1;n_A2;designe
F01;delta;27;rap;0.35406822716135333;0.7847933873427861;0.004535382162571887;0.014167733115732736;1222;625;False
F01;epsilon;1;bas;0.2263994427067177;-0.15260015545445899;0.0014505463983871974;-0.0012545825383923177;1247;631;False
F01;epsilon;1;rap;0.25735271371954777;0.20571314346415012;0.003457722855825781;0.004002294690005361;1247;631;False
F01;epsilon;3;bas;-1.8664526742982772;-1.2364377972635434;-0.015649415985202197;-0.013461658258033513;1245;631;False
F01;epsilon;3;rap;1.3473344514487509;0.5882819102438004;0.017163533361750628;0.010762563877024218;1245;631;False
F01;epsilon;9;bas;-2.8291347804439475;-3.489149947817205;-0.03194677869446798;-0.04901600936993936;1240;626;False
F01;epsilon;9;rap;3.078085682531116;-0.5700101756434184;0.035004588343183894;-0.008894492202657511;1240;626;False
F01;epsilon;27;bas;-0.4134970148521692;-2.4704278679877207;-0.005406722469917;-0.04687590611491516;1222;625;False
F01;epsilon;27;rap;2.0241781176297278;0.59304675252955;0.02039958938252786;0.008412670179250733;1222;625;False
F01;gamma;1;bas;0.08599295056141225;-1.0963631337610096;0.00048670840081607773;-0.00785332999353221;1247;631;False
F01;gamma;1;rap;0.548126022623571;-0.33858513363282766;0.007542526293595385;-0.006598112681112454;1247;631;False
F01;gamma;3;bas;-0.6810728162639554;-1.9419642720810744;-0.00524022575881702;-0.01954402676255832;1245;631;False
F01;gamma;3;rap;1.0421505159179258;-0.1887501813358293;0.013812901029627981;-0.003631955290375635;1245;631;False
F01;gamma;9;bas;-1.3282824118961223;-0.09205372205177889;-0.013144668113229431;-0.0012467775407956321;1240;626;False
F01;gamma;9;rap;3.5359465984073513;0.7385052615487369;0.044030293780642285;0.013129041565274202;1240;626;False
F01;gamma;27;bas;0.2515100406683071;-0.4458045611097452;0.003126477534502292;-0.007580516615096251;1222;625;False
F01;gamma;27;rap;3.374682494544474;0.7113617873382049;0.03914173446954453;0.010795534183993217;1222;625;False
F02;alpha;1;bas;-1.5881093159034407;-1.0557202773602008;-0.00934048538771645;-0.008693180972901835;1320;646;False
F02;alpha;1;rap;3.0594739735405643;0.7221614357722694;0.03806460687725195;0.013077099527334081;1320;646;False
F02;alpha;3;bas;-1.0428566972688633;-2.581755225340182;-0.009345933508278724;-0.029430152151568436;1316;646;False
F02;alpha;3;rap;2.0151825368392147;2.408044745995079;0.022797567232763372;0.036936318346764405;1316;646;False
F02;alpha;9;bas;-2.602594178392244;-3.258734640388573;-0.032585414122495354;-0.05590731586821993;1313;643;False
F02;alpha;9;rap;1.0138479974910506;1.3891262376791664;0.010021777943056344;0.018284453187108078;1313;643;False
F02;alpha;27;bas;-0.8980350422108364;-0.9048213401010855;-0.009443475572018481;-0.014394263317419947;1298;637;False
F02;alpha;27;rap;1.4665887765370933;-1.0432457541079887;0.015037062287682043;-0.015629722607257767;1298;637;False
F02;beta;1;bas;1.8278368846993536;0.4703231667829444;0.009964270273552869;0.003487407007896994;1320;646;False
F02;beta;1;rap;1.0343024624900015;-1.193511708375295;0.013969157784251868;-0.023281346616744993;1320;646;False
F02;beta;3;bas;1.0517992975336568;-0.05873337968752729;0.007518732474477228;-0.0005589251271932318;1316;646;False
F02;beta;3;rap;1.5831256033467676;0.9562966884957993;0.021021138798770666;0.01788254543366023;1316;646;False
F02;beta;9;bas;0.11855012424030703;-2.7238369164954044;0.0010646251870070871;-0.030439432182487864;1313;643;False
F02;beta;9;rap;1.6031653456734107;0.9699097030611735;0.02040194687716907;0.017173339361822575;1313;643;False
F02;beta;27;bas;-0.46782552178708736;-1.3880714940701238;-0.005368350305504688;-0.02170413285009149;1298;637;False
F02;beta;27;rap;3.152100285325358;1.7467904085351609;0.035648055887714976;0.028744693701295652;1298;637;False
F02;delta;1;bas;0.9788602936268078;-2.183519361625734;0.004276295518599767;-0.009659474827460676;1320;646;False
F02;delta;1;rap;0.18755090589655274;-0.1587900981107627;0.0025513529980001255;-0.003108109938178644;1320;646;False
F02;delta;3;bas;0.8070369634147092;-1.2480012556171016;0.0048405764592198905;-0.009597947350730884;1316;646;False
F02;delta;3;rap;0.5622178396871356;1.094944657186571;0.007570583031458132;0.021176522552657437;1316;646;False
F02;delta;9;bas;-0.44675725359870083;0.01095200624796223;-0.0033091688090105876;0.0001152352177450661;1313;643;False
F02;delta;9;rap;0.8160257614840046;2.5026943867770015;0.010826761592129138;0.04778570230370801;1313;643;False
F02;delta;27;bas;0.9003731641088105;-0.5345510369761798;0.008563910915026104;-0.006782690329454609;1298;637;False
F02;delta;27;rap;0.23214647338981068;1.106922777927397;0.0029220800108939724;0.020125058083038598;1298;637;False
F02;epsilon;1;bas;0.9153497730936783;-1.202347783536525;0.005883299393388129;-0.009136569872970589;1320;646;False
F02;epsilon;1;rap;3.4797419526493307;-0.6519266733225035;0.04519163603212417;-0.012488601068535514;1320;646;False
F02;epsilon;3;bas;-1.1576817754711946;-2.3415930126090956;-0.009541017116401393;-0.02486930546312794;1316;646;False
F02;epsilon;3;rap;1.32631556020044;0.4309217044989764;0.01642334434704857;0.0076640741532374435;1316;646;False
F02;epsilon;9;bas;-1.2103841168787512;-2.974486235628829;-0.012972002310916256;-0.043379984492473704;1313;643;False
F02;epsilon;9;rap;2.2594204484559293;0.8737100441795141;0.024485718968855742;0.013989791154061668;1313;643;False
F02;epsilon;27;bas;-1.6531133003174068;-1.6619710759445157;-0.02085034795552769;-0.03119253519322557;1298;637;False
F02;epsilon;27;rap;1.5812308042358931;0.6586786118994027;0.016284302183548535;0.01012589764240664;1298;637;False
F02;gamma;1;bas;-0.8485395997076153;-1.7213649741015546;-0.0045731388425477165;-0.01133362723229598;1320;646;False
F02;gamma;1;rap;2.5771666838548914;-0.8176578643649526;0.034202335231789324;-0.016010805126883035;1320;646;False
F02;gamma;3;bas;-0.1655173374957193;-1.6789563799983256;-0.0012632107452493103;-0.016703033446593813;1316;646;False
F02;gamma;3;rap;2.7909500932894757;0.973083806818094;0.03647313382547267;0.017842630405556767;1316;646;False
F02;gamma;9;bas;0.22952988099163915;-2.4653081232781826;0.0022643205105479206;-0.032458043083965125;1313;643;False
F02;gamma;9;rap;2.001683582519169;-0.11364719186781184;0.024545899787546056;-0.001937490819993227;1313;643;False
F02;gamma;27;bas;-0.16121732452775606;-1.4151909744696982;-0.0019372143834074328;-0.024177920728485534;1298;637;False
F02;gamma;27;rap;3.5569323820427337;-0.45477684938131835;0.03869551631472716;-0.006939992104235331;1298;637;False
F03;alpha;1;bas;-2.3910129417448482;-2.5454084000898987;-0.013498916769543533;-0.019252242625881547;1287;643;False
F03;alpha;1;rap;-0.2961978060146147;1.0151983563484226;-0.00378434152344963;0.018583431618189154;1287;643;False
F03;alpha;3;bas;-2.835133220516938;-0.9488728579322182;-0.024609709268404525;-0.011535838421909115;1284;642;False
F03;alpha;3;rap;0.6747228146871356;0.41181532833007634;0.007666789045790668;0.006584105125730746;1284;642;False
F03;alpha;9;bas;-3.4186951017703504;-2.072155857378024;-0.042351853628704444;-0.034863317465800035;1276;639;False
F03;alpha;9;rap;1.0643180506812582;0.8365425444596616;0.01031807215750302;0.011607419717378152;1276;639;False
F03;alpha;27;bas;-1.616199524215445;-2.040004565238598;-0.01755860982132403;-0.03298985661658238;1260;634;False
F03;alpha;27;rap;1.798588094520949;-0.3323378566454033;0.01850744430479285;-0.005048024098992184;1260;634;False
F03;beta;1;bas;-0.555122638558348;1.7685205945243463;-0.0026078343818020356;0.013359433456403277;1287;643;False
F03;beta;1;rap;0.5395743949332429;0.5203379219147135;0.007413231334909652;0.010193967818835666;1287;643;False
F03;beta;3;bas;-2.3438530073461012;0.812095978538639;-0.014943058439843483;0.007928840723360494;1284;642;False
F03;beta;3;rap;0.4902052226792384;0.46577223869389445;0.006565829806109272;0.008854871141285648;1284;642;False
F03;beta;9;bas;-2.2738703106815517;-0.8509615653708856;-0.01958468843927072;-0.010228113104913183;1276;639;False
F03;beta;9;rap;1.5111265559761073;-0.9090304099707313;0.01939719237501868;-0.016255415713155273;1276;639;False
F03;beta;27;bas;-1.896245454884419;-1.2587420727525402;-0.022311981904859002;-0.01909535242642436;1260;634;False
F03;beta;27;rap;1.5870722488239037;-1.3112807002097586;0.01880491745619785;-0.021520040960395753;1260;634;False
F03;delta;1;bas;-0.5099844417351184;-1.7473333512565525;-0.0021360910121983787;-0.008411991736833204;1287;643;False
F03;delta;1;rap;-0.04780858292127692;-1.433696972498014;-0.0006612516695782364;-0.028073501885626347;1287;643;False
F03;delta;3;bas;-1.7632203023325235;-0.21063499547494738;-0.010112720567576068;-0.0016927723687674198;1284;642;False
F03;delta;3;rap;0.9452864528195496;1.2748816397504448;0.012962233024049846;0.02440900496904185;1284;642;False
F03;delta;9;bas;-2.0253455660340673;-0.10163481085731312;-0.015429103768126867;-0.001093079870108412;1276;639;False
F03;delta;9;rap;1.5883654395161488;-1.6157987779933145;0.021275452657037758;-0.03135628826382151;1276;639;False
F03;delta;27;bas;-0.8669776484740137;-0.08424181274600717;-0.008682710827223395;-0.0011137757272205592;1260;634;False
F03;delta;27;rap;1.2628776349212736;-1.6541030498472475;0.016232816316447154;-0.029816176169501336;1260;634;False
F03;epsilon;1;bas;-0.20354786823690596;-2.741938754836336;-0.001261821998532225;-0.021130195017883175;1287;643;False
F03;epsilon;1;rap;2.2227943852448804;-0.12971128672737256;0.029614324127497635;-0.002491006251618639;1287;643;False
F03;epsilon;3;bas;-1.7892060349635455;-1.68867113994645;-0.014771066005167437;-0.019558941337741227;1284;642;False
