source;famille;capteur;designe;n;segments;obs;ref;z
collage;F27;epsilon;False;578;50;0.7647058823529411;0.7594952551779689;0.31031980674360476
collage;F27;gamma;False;578;50;0.6245674740484429;0.6171814629181436;0.4164248360905256
collage;F27;beta;False;578;50;0.4982698961937716;0.49929982774043835;-0.05670571777903672
collage;F27;delta;False;578;50;0.28027681660899656;0.26549120665044834;1.028573858761149
collage;F28;alpha;False;591;50;0.8900169204737732;0.8705049896962413;1.5297378871039673
collage;F28;epsilon;False;591;50;0.7698815566835872;0.7624403277282112;0.4346195372188212
collage;F28;gamma;False;591;50;0.6395939086294417;0.6237196827410059;0.8660602680157904
collage;F28;beta;False;591;50;0.5313028764805414;0.5029515470101785;1.5520654168993644
collage;F28;delta;False;591;50;0.27749576988155666;0.27295001978491557;0.301250056032339
collage;F29;alpha;False;327;50;0.8623853211009175;0.8714585409102026;-0.4831279359782754
collage;F29;epsilon;False;327;50;0.7706422018348624;0.7541143025553333;0.7416174234087873
collage;F29;gamma;False;327;50;0.6055045871559633;0.62229481000754;-0.6878705775649416
collage;F29;beta;False;327;50;0.5229357798165137;0.5037567993572244;0.8080345456856928
collage;F29;delta;False;327;50;0.3180428134556575;0.3015120651111974;0.8170699262042614
collage;F30;alpha;False;620;50;0.864516129032258;0.8752102115709804;-0.7840045823858776
collage;F30;epsilon;False;620;50;0.7532258064516129;0.7557982268348181;-0.15283065805688034
collage;F30;gamma;False;620;50;0.6161290322580645;0.6069558145242684;0.5141609710278255
collage;F30;beta;False;620;50;0.5209677419354839;0.49628194187698876;1.431715902486095
collage;F30;delta;False;620;50;0.29354838709677417;0.2840732296152373;0.6600609735427264
collage;F31;alpha;False;590;50;0.8864406779661017;0.8778059311369747;0.6653125784247284
collage;F31;epsilon;False;590;50;0.7847457627118644;0.7622726440484279;1.3763063515601575
collage;F31;gamma;False;590;50;0.6508474576271186;0.6248931985298726;1.4290224794753854
collage;F31;beta;False;590;50;0.5135593220338983;0.4938648775794765;1.08180685329723
collage;F31;delta;False;590;50;0.28983050847457625;0.27340989754680967;1.1143611070078117
collage;F32;alpha;False;129;46;0.8682170542635659;0.870437478791715;-0.074593958212851
collage;F32;epsilon;False;129;46;0.7751937984496124;0.7625732719913689;0.35141901932473213
collage;F32;gamma;False;129;46;0.6744186046511628;0.6053774863879968;1.8117049184599532
collage;F32;beta;False;129;46;0.5813953488372093;0.4835374271689303;2.6406832343670135
collage;F32;delta;False;129;46;0.3023255813953488;0.2519477091595473;1.7549042950218408
collage;F33;alpha;False;578;50;0.8858131487889274;0.8738986040697085;0.9082295276173746
collage;F33;epsilon;True;578;50;0.773356401384083;0.7530490201868365;1.2372053201776674
collage;F33;gamma;False;578;50;0.6228373702422145;0.619888264113131;0.16370594544268574
collage;F33;beta;False;578;50;0.5449826989619377;0.5116980232595182;1.8877033161930095
collage;F33;delta;False;578;50;0.3027681660899654;0.2869081822165452;1.057486359972636
collage;F34;alpha;False;572;50;0.8706293706293706;0.8720946519218762;-0.10514166369617603
collage;F34;epsilon;False;572;50;0.7657342657342657;0.7630767304810439;0.1545071839854556
collage;F34;gamma;False;572;50;0.6363636363636364;0.6188414327381566;0.9453416337503664
collage;F34;beta;False;572;50;0.5209790209790209;0.5014789101393038;1.0793803068196586
collage;F34;delta;False;572;50;0.31993006993006995;0.30043433992745294;1.3053385436667044
collage;F35;alpha;False;647;50;0.848531684698609;0.8735595966964408;-1.7919376168402041
collage;F35;epsilon;False;647;50;0.7465224111282844;0.7526896218594793;-0.37649254843905594
collage;F35;gamma;False;647;50;0.6259659969088099;0.6227586239451941;0.1788996773829478
collage;F35;beta;False;647;50;0.5625965996908809;0.5227275463957226;2.2153080831110508
collage;F35;delta;False;647;50;0.31993817619783615;0.29486500993930304;1.6706022938612244
collage;F36;alpha;False;569;50;0.8787346221441125;0.8717411837124961;0.5190158662823258
collage;F36;epsilon;False;569;50;0.7240773286467487;0.7473420894641635;-1.2831326699028063
collage;F36;gamma;False;569;50;0.6115992970123023;0.6201251113791394;-0.4655783949632049
