famille;capteur;h;issue;designe;n;segments;obs;ref;ecart;z
F04;delta;1;bas;False;2131;50;0.022055373064289067;0.023380311423153652;-0.0013249383588645838;-0.4538891314325579
F04;delta;1;rap;False;2131;50;0.5025809479117785;0.5149867258278713;-0.012405777916092858;-1.1548830364367648
F04;delta;3;bas;False;2129;50;0.05448567402536402;0.054690780773687456;-0.00020510674832344304;-0.0469205184202514
F04;delta;3;rap;False;2129;50;0.49788633161108503;0.5224215887130959;-0.02453525710201077;-2.295195259693783
F04;delta;9;bas;False;2118;50;0.11331444759206799;0.1133461668944533;-3.171930238533824e-05;-0.005411539420700048
F04;delta;9;rap;False;2118;50;0.5174693106704438;0.5325803084832712;-0.01511099781282732;-1.4440993353862082
F04;delta;27;bas;False;2086;50;0.2171620325982742;0.21860377600050743;-0.0014417434022332303;-0.1913590394171184
F04;delta;27;rap;False;2086;50;0.5191754554170661;0.5424034639612765;-0.02322800854421029;-2.275650638281786
F04;epsilon;1;bas;False;2131;50;0.07320506804317221;0.07452165194712577;-0.0013165839039535612;-0.252469939135087
F04;epsilon;1;rap;False;2131;50;0.5241670577193805;0.5200367391326408;0.0041303185867397245;0.391008554197224
F04;epsilon;3;bas;False;2129;50;0.17238139971817754;0.17223176184848527;0.0001496378696923244;0.020553072845199024
F04;epsilon;3;rap;False;2129;50;0.519962423673086;0.5205234019499234;-0.0005609782768374883;-0.054580030744521474
F04;epsilon;9;bas;False;2118;50;0.3630783758262512;0.35399268765145525;0.009085688174795957;0.9789703896125537
F04;epsilon;9;rap;False;2118;50;0.4985835694050991;0.5156535899590822;-0.017070020553983052;-1.8014930433262966
F04;epsilon;27;bas;False;2086;50;0.6625119846596357;0.6565933905038821;0.005918594155753533;0.6031975424151459
F04;epsilon;27;rap;False;2086;50;0.473633748801534;0.48127976071181106;-0.0076460119102769826;-0.8541494781906199
F05;alpha;1;bas;False;2204;50;0.11932849364791288;0.12344808737023022;-0.004119593722317325;-0.6529275591477167
F05;alpha;1;rap;False;2204;50;0.5095281306715064;0.5006142144332907;0.00891391623821571;0.8794402246083962
F05;alpha;3;bas;False;2202;50;0.2688465031789282;0.2734292057041121;-0.00458270252518386;-0.5457469103344154
F05;alpha;3;rap;False;2202;50;0.4868301544050863;0.4843814209870314;0.002448733418054809;0.25565555886067787
F05;alpha;9;bas;False;2195;50;0.5289293849658314;0.5336582581097764;-0.004728873143945017;-0.4754349110103105
F05;alpha;9;rap;False;2195;50;0.4697038724373576;0.4522446338273861;0.017459238609971492;2.010797156794632
F05;alpha;27;bas;False;2170;50;0.8654377880184332;0.866735278021812;-0.0012974900033789194;-0.17928671157859646
F05;alpha;27;rap;False;2170;50;0.44516129032258067;0.4394226012410693;0.005738689081511377;0.642303333411424
F05;beta;1;bas;False;2204;50;0.04582577132486389;0.04100877568133116;0.004816995643532725;1.2039025046711178
F05;beta;1;rap;False;2204;50;0.5231397459165155;0.5175488540126071;0.005590891903908398;0.5297709049559702
F05;beta;3;bas;False;2202;50;0.09854677565849228;0.09134948870107298;0.007197286957419297;1.3232070632260946
F05;beta;3;rap;False;2202;50;0.510899182561308;0.5262801053213791;-0.015380922760071218;-1.4873156284614955
F05;beta;9;bas;False;2195;50;0.19817767653758542;0.1874921908763456;0.010685485661239814;1.5149820481194045
F05;beta;9;rap;False;2195;50;0.5334851936218679;0.5325749655767482;0.000910228045119694;0.09210712146680484
F05;beta;27;bas;False;2170;50;0.3654377880184332;0.35374775763278116;0.011690030385651983;1.2997402375870384
F05;beta;27;rap;False;2170;50;0.5414746543778802;0.5327946210039478;0.00868003337393238;0.9477418345431651
F05;gamma;1;bas;False;2204;50;0.05807622504537205;0.05268155169256093;0.005394673352811117;1.206182836259076
F05;gamma;1;rap;False;2204;50;0.514065335753176;0.5202033159679408;-0.006137980214764751;-0.5875633333473431
F05;gamma;3;bas;False;2202;50;0.12397820163487738;0.11877172011596406;0.005206481518913316;0.8740771365677559
F05;gamma;3;rap;False;2202;50;0.5104450499545867;0.5254247550450403;-0.014979705090453516;-1.4654635931672988
F05;gamma;9;bas;False;2195;50;0.25740318906605925;0.24118743022130965;0.016215758844749552;2.0783681068797533
F05;gamma;9;rap;False;2195;50;0.532118451025057;0.5282378485807707;0.00388060244428628;0.39805669127539145
F05;gamma;27;bas;False;2170;50;0.46682027649769586;0.45534575581035547;0.011474520687340426;1.2173557166871232
F05;gamma;27;rap;False;2170;50;0.5253456221198156;0.5163415982331695;0.009004023886646301;0.9860536897526764
F05;delta;1;bas;False;2204;50;0.02586206896551724;0.02225149403126322;0.003610574934254021;1.1784629597602152
F05;delta;1;rap;False;2204;50;0.5290381125226861;0.5174386173734948;0.011599495149191216;1.0936755623867485
F05;delta;3;bas;False;2202;50;0.05631244323342416;0.05184454246385083;0.004467900769573323;1.0481705059147186
F05;delta;3;rap;False;2202;50;0.5295186194368756;0.5265444947391656;0.0029741246977100805;0.28204787339692655
F05;delta;9;bas;False;2195;50;0.1152619589977221;0.10843928802328057;0.00682267097444152;1.1920715978272447
F05;delta;9;rap;False;2195;50;0.55125284738041;0.537896502627694;0.013356344752716047;1.2971377654489935
F05;delta;27;bas;False;2170;50;0.22534562211981568;0.2078386645426955;0.017506957577120175;2.343800427593861
F05;delta;27;rap;False;2170;50;0.5548387096774193;0.5532185660434996;0.0016201436339197497;0.1629181137291608
F05;epsilon;1;bas;False;2204;50;0.07849364791288566;0.07876343726718373;-0.0002697893542980569;-0.05159141412520189
F05;epsilon;1;rap;False;2204;50;0.5108892921960072;0.5166977517094113;-0.005808459513404079;-0.5603891491816982
F05;epsilon;3;bas;False;2202;50;0.19391462306993643;0.18129202595126853;0.012622597118667868;1.7207218880320236
F05;epsilon;3;rap;False;2202;50;0.5059037238873751;0.5143272285513846;-0.00842350466400945;-0.8314402887799812
F05;epsilon;9;bas;False;2195;50;0.38132118451025054;0.368946287837629;0.012374896672621517;1.3764744732576668
F05;epsilon;9;rap;False;2195;50;0.5111617312072892;0.5026808043175883;0.00848092688970108;0.9074632527013092
F05;epsilon;27;bas;False;2170;50;0.6741935483870968;0.6662187157545839;0.007974832632512868;0.8412427920824126
F05;epsilon;27;rap;False;2170;50;0.4728110599078341;0.465616986107105;0.0071940738007290955;0.8490718064815239
F06;alpha;1;bas;True;2137;50;0.10388394946186243;0.09607494049250352;0.007809008969358895;1.3374528391778322
F06;alpha;1;rap;True;2137;50;0.5390734674777726;0.5445955905949;-0.005522123117127496;-0.5384244909020987
F06;alpha;3;bas;True;2135;50;0.22763466042154568;0.22245064660496833;0.005184013816577352;0.6602350297759961
F06;alpha;3;rap;True;2135;50;0.5555035128805621;0.5568031467098926;-0.0012996338293304707;-0.14071856140873423
F06;alpha;9;bas;True;2126;50;0.4905926622765757;0.47035663494794017;0.020236027328635577;2.0434000515983213
F06;alpha;9;rap;True;2126;50;0.5536218250235183;0.550249521809569;0.0033723032139493844;0.4003228587158777
F06;alpha;27;bas;True;2091;50;0.8637015781922525;0.847547497306854;0.016154080885398596;2.1859132368616647
F06;alpha;27;rap;True;2091;50;0.5327594452415112;0.5329478729980965;-0.0001884277565854004;-0.02159843728658535
F06;beta;1;bas;False;2137;50;0.0416471689284043;0.039697707650489814;0.001949461277914491;0.4923483313482106
F06;beta;1;rap;False;2137;50;0.5189518015910154;0.5192407257534946;-0.00028892416247917126;-0.027153106369976695
