bloc;id;description;n;segments;valeur;reference;p;verdict
6;06.casc.epsilon.gamma;bascule de epsilon vers le côté opposé à gamma : gamma bascule en 54 pas;2123;50.0;0.8314;0.8052;0.0010023407043107;
6;06.casc.gamma.beta;bascule de gamma vers le côté opposé à beta : beta bascule en 108 pas;1291;50.0;0.9156;0.8897;0.0007902379895485;
6;06.casc.beta.delta;bascule de beta vers le côté opposé à delta : delta bascule en 162 pas;1056;50.0;0.7472;0.7252;0.0851688391296248;
6;06.collage.F06.alpha;fin de run dont le collage appelle alpha : alpha bascule en 27 pas;608;50.0;0.8586;0.8697;0.4237624931597969;
6;06.collage.F11.gamma;fin de run dont le collage appelle gamma : gamma bascule en 27 pas;559;50.0;0.6583;0.6264;0.0764711473191879;
6;06.collage.F20.beta;fin de run dont le collage appelle beta : beta bascule en 27 pas;287;49.0;0.5575;0.5028;0.0325000900648326;
6;06.collage.F26.delta;fin de run dont le collage appelle delta : delta bascule en 27 pas;594;50.0;0.3047;0.2869;0.2248017881148353;
6;06.collage.F33.epsilon;fin de run dont le collage appelle epsilon : epsilon bascule en 27 pas;578;50.0;0.7734;0.753;0.2160108669064099;
6;06.longueur.F06.alpha;fin de run dont le longueur appelle alpha : alpha bascule en 27 pas;238;50.0;0.7983;0.8713;0.0041948549880179;
6;06.longueur.F11.gamma;fin de run dont le longueur appelle gamma : gamma bascule en 27 pas;283;50.0;0.5901;0.6436;0.0514732941228978;
6;06.longueur.F20.beta;fin de run dont le longueur appelle beta : beta bascule en 27 pas;150;48.0;0.5467;0.5157;0.3705176189231552;
6;06.longueur.F26.delta;fin de run dont le longueur appelle delta : delta bascule en 27 pas;202;49.0;0.3465;0.3018;0.1235446384086994;
6;06.longueur.F33.epsilon;fin de run dont le longueur appelle epsilon : epsilon bascule en 27 pas;247;48.0;0.7449;0.7797;0.1874082299045433;
6;06.casc.alpha.epsilon;bascule de alpha vers le côté opposé à epsilon : epsilon bascule en 27 pas;2948;50.0;0.8341;0.8054;2.338478739489314e-05;
6;06.casc.epsilon.gamma;bascule de epsilon vers le côté opposé à gamma : gamma bascule en 54 pas;2123;50.0;0.8314;0.8052;0.0010023407043107;
6;06.casc.gamma.beta;bascule de gamma vers le côté opposé à beta : beta bascule en 108 pas;1291;50.0;0.9156;0.8897;0.0007902379895485;
6;06.casc.beta.delta;bascule de beta vers le côté opposé à delta : delta bascule en 162 pas;1056;50.0;0.7472;0.7252;0.0851688391296248;
6;06.collage.F06.alpha;fin de run dont le collage appelle alpha : alpha bascule en 27 pas;608;50.0;0.8586;0.8697;0.4237624931597969;
6;06.collage.F11.gamma;fin de run dont le collage appelle gamma : gamma bascule en 27 pas;559;50.0;0.6583;0.6264;0.0764711473191879;
6;06.collage.F20.beta;fin de run dont le collage appelle beta : beta bascule en 27 pas;287;49.0;0.5575;0.5028;0.0325000900648326;
6;06.collage.F26.delta;fin de run dont le collage appelle delta : delta bascule en 27 pas;594;50.0;0.3047;0.2869;0.2248017881148353;
6;06.collage.F33.epsilon;fin de run dont le collage appelle epsilon : epsilon bascule en 27 pas;578;50.0;0.7734;0.753;0.2160108669064099;
6;06.longueur.F06.alpha;fin de run dont le longueur appelle alpha : alpha bascule en 27 pas;238;50.0;0.7983;0.8713;0.0041948549880179;
6;06.longueur.F11.gamma;fin de run dont le longueur appelle gamma : gamma bascule en 27 pas;283;50.0;0.5901;0.6436;0.0514732941228978;
6;06.longueur.F20.beta;fin de run dont le longueur appelle beta : beta bascule en 27 pas;150;48.0;0.5467;0.5157;0.3705176189231552;
6;06.longueur.F26.delta;fin de run dont le longueur appelle delta : delta bascule en 27 pas;202;49.0;0.3465;0.3018;0.1235446384086994;
6;06.longueur.F33.epsilon;fin de run dont le longueur appelle epsilon : epsilon bascule en 27 pas;247;48.0;0.7449;0.7797;0.1874082299045433;
7;07.horloge.0;au pas ≡ 0 (mod 60) l'activité dépasse celle du pas précédent;1032;50.0;0.907;0.4152;5.401689270750246e-243;
7;07.horloge.30;au pas ≡ 30 (mod 60) l'activité dépasse celle du pas précédent;1122;50.0;0.7692;0.4152;1.3975627768518302e-128;
7;07.horloge.15;au pas ≡ 15 (mod 60) l'activité dépasse celle du pas précédent;1122;50.0;0.6578;0.4152;5.729541625031078e-60;
7;07.horloge.45;au pas ≡ 45 (mod 60) l'activité dépasse celle du pas précédent;1122;50.0;0.6622;0.4152;2.9053538405525915e-62;
7;07.horloge.5;au pas ≡ 5 (mod 60) l'activité dépasse celle du pas précédent;1122;50.0;0.5633;0.4152;2.529608326151408e-23;
7;07.chocs;choc d'amplitude (≥4× médiane 60) suivi d'un autre choc en 10 pas;294;48.0;0.3946;0.0518;1.2478620380555959e-69;
7;07.act.act_n>=3;activité act_n>=3 : extrême dans les 10 pas;963;50.0;0.4268;0.1822;8.4898062562903e-69;
7;07.act.act_n<0.5;activité act_n<0.5 : extrême dans les 10 pas;1237;49.0;0.0687;0.1071;4.964941730656444e-06;
8;08.z;position dans l'enveloppe -> sens de la variation à fenêtre/3 (réplication A1/A2 de 40 cases);315700;50.0;-0.2180112570356473;0.0;;
8;08.sortie.alpha.haut;première sortie haut de l'enveloppe alpha : retour dedans en 3 pas;1842;50.0;0.8198;0.7938;;
8;08.sortie.alpha.bas;première sortie bas de l'enveloppe alpha : retour dedans en 3 pas;1899;50.0;0.8067;0.803;;
